year,district_code,district_name,n_households_matched,n_households_child_bearing,pct_households_childless,asset_index,edu_index,health_index_all_hh,health_index_child_hh,hdi_all_hh,hdi_child_hh,hdi_urban_all_hh,hdi_rural_all_hh,hdi_urban_child_hh,hdi_rural_child_hh
2014,2,Bahawalnagar,1099,522,52.50227479526843,0.31433686025165836,0.31087876929504304,0.4677053813442371,0.3811721298485691,0.3643070036303129,0.3324984139633356,0.4601685594537409,0.34181273079895463,0.4391887901081097,0.31069078079526175
2014,3,RY Khan,1367,716,47.62253108997806,0.3268541369496834,0.2647284872548312,0.406493494420013,0.3264733723692496,0.33269203954150917,0.3122431006721621,0.4743460077052691,0.2950374636596063,0.47372440387811987,0.27641491148272446
2014,4,DG Khan,1020,638,37.450980392156865,0.304861986479096,0.2871925024086619,0.3086497407586395,0.2632396917892721,0.3002347432154658,0.2769612734214763,0.44480838061712724,0.26686540335539705,0.4329739784033369,0.24849089372897226
2014,5,Layyah,862,456,47.09976798143851,0.30753180652393086,0.3453299617371739,0.45098861592078227,0.3893340184271393,0.36795012806062904,0.35355153208516754,0.4791501305120372,0.34826441329899777,0.47298540497803837,0.3378080112195144
2014,6,Muzaffargarh,1333,741,44.41110277569392,0.28753684028978993,0.2994502324079308,0.3561337157314172,0.30902424936741785,0.314373596143046,0.29030281665239105,0.42387052723050905,0.2937321893660047,0.3980743732382832,0.2732732360595122
2014,7,Rajanpur,836,519,37.91866028708134,0.22781656390411853,0.24825668128227266,0.35248834435472304,0.2900357411487324,0.27618719651370477,0.2526149037925036,0.4239165462219157,0.2510880037866654,0.44376891033416116,0.22442361248633272
2014,8,Faisalabad,1853,832,55.09983810037777,0.4442848835655311,0.44655610342387647,0.5324905545887765,0.478930959686741,0.47444384719272803,0.46662197070483274,0.5099148462080605,0.44166384372207473,0.5102096194901075,0.42214330783442894
2014,9,Chiniot,762,349,54.199475065616795,0.36225676790808886,0.32912973069478596,0.4655362775821269,0.3936037575826365,0.38564092539500056,0.36767584843576256,0.45720520371037604,0.3547160068081274,0.45852263079435945,0.32744275455136473
2014,10,Jhang,1059,478,54.863078375826255,0.337108990362936,0.3403719139374373,0.4280302446809183,0.3988440052522709,0.3685037163270972,0.37524907811464625,0.4482670700864652,0.34782290549910627,0.4544397174340921,0.3574990619835508
2014,11,TT Singh,973,405,58.37615621788284,0.4397319795030233,0.4123117004822851,0.4828603932770846,0.4361664603578371,0.4449680244207977,0.4373350276012422,0.49931634914635825,0.42899740863397534,0.5143584533150738,0.41506298054943075
2014,12,Gujranwala,1473,736,50.033944331296674,0.45022773263350296,0.4618707172197306,0.553733447474322,0.49373511522685476,0.48861063244251846,0.47506400655281605,0.501385803721234,0.47448830689786575,0.48090936022382574,0.46904056650112674
2014,13,Gujrat,1100,514,53.27272727272727,0.4744698153254984,0.4804658834263891,0.5907516959890146,0.5471332322836202,0.5152291315803007,0.5136003547697037,0.5562947814379317,0.5012705047659757,0.5372712454321978,0.5065634230391322
2014,14,Hafizabad,690,330,52.17391304347826,0.3979967637636946,0.3958732671703337,0.5814741362903908,0.5306705512785244,0.458448055741473,0.4572361057740842,0.49383239223327996,0.445164946123797,0.49906134063855156,0.4439852869369958
2014,15,Mandi Bahauddin,799,371,53.56695869837297,0.44236928931516256,0.3908019804485843,0.5498515179224682,0.506386537680945,0.461007595895405,0.4532586689939122,0.5088876949417596,0.45225050305553466,0.4808038398348359,0.44826958849832216
2014,16,Narowal,883,471,46.65911664779162,0.4042662434716462,0.428528332203362,0.5332312630901036,0.500017783035114,0.4553419462550373,0.4604946497037728,0.5010687327306894,0.4473314739359867,0.49549331074443936,0.45513968873257166
2014,17,Sialkot,1309,607,53.62872421695951,0.47883024727706375,0.48633424877525677,0.5678121635947253,0.5074913471358389,0.5109922198823486,0.5056855228343757,0.5564054514348603,0.4933705085053291,0.5455477092570054,0.4921348531183639
2014,18,Lahore,1837,877,52.2591181273816,0.508425501746845,0.5289546996480113,0.5682755374842544,0.48744540520905066,0.5352185796263703,0.5031888102788153,0.553110947936331,0.45827910136878985,0.5260550189085302,0.4300309303757079
2014,19,Kasur,1146,589,48.603839441535776,0.36872046410554116,0.3701963922920533,0.45083015531269516,0.3933782715059863,0.39658233723676317,0.3914131535428469,0.4471246468676256,0.374756395163319,0.460488861770086,0.3612590574111923
2014,20,Nankana Sahib,758,369,51.31926121372032,0.40971062549560955,0.4102926622651823,0.5281823719479407,0.48671546815123046,0.44939521990291087,0.4474222307510521,0.4968915371080301,0.434145092538476,0.4889412936195307,0.4340680720929382
2014,21,Sheikhupura,1133,548,51.63283318623124,0.4311104471623996,0.4224931026267767,0.5184759993837572,0.459709337126091,0.45735984972431115,0.4437100612017999,0.5031607014013056,0.43097238011225064,0.48597114337705516,0.4180422076936658
2014,22,Multan,1374,632,54.00291120815138,0.3794625028126314,0.3652568276461223,0.48430057999973924,0.42067016227957504,0.4096733034861643,0.38612462639674183,0.4761049655386491,0.3709632996524447,0.4456197902335343,0.35429068233295663
2014,23,Khanewal,1135,504,55.59471365638767,0.34795875020541334,0.3447923885720668,0.46534106407942744,0.4143209900470245,0.38603073428563583,0.3768618286797454,0.4621806493085002,0.36901139066878347,0.46323037846028203,0.3579979002392944
