district,division,province,region,population_2023,population_2017,population_growth_rate,area_sqkm,density_per_sqkm,literacy_rate,male_literacy,female_literacy,rural_literacy,urban_literacy,rural_urban_literacy_gap,literacy_rate_2017,literacy_change,poverty_headcount,mpi_score,unemployment_rate,primary_enrollment_rate,middle_enrollment_rate,out_of_school_rate,dropout_rate,never_attended_rate,higher_education_rate,population_5plus,population_10plus,ever_attended,enrolment_primary,enrolment_middle,enrolment_matric,enrolment_intermediate,enrolment_graduation_above,out_of_school_5_16,dropout_5_16,never_attended_school,immunization_coverage,clean_water_access,sanitation_access,electricity_access,internet_access,hospitals_per_100k
Chakwal,Rawalpindi,Punjab,Rest of Punjab,1508682,1495982,0.14,6524,231,77.8,86.1,69.5,76.92,80.43,3.5,73.1,4.7,14.2,0.066,4.6,64.0,30.7,17.5,9.9,21.6,4.3,1508682,1333288,1182981,193050,92698,58681,32851,24187,60787,34398,325701,78.0,90.5,86.3,97.2,48.6,2.5
Sahiwal,Sahiwal,Punjab,Rest of Punjab,2454662,2517460,-0.42,3201,767,64.8,71.1,58.3,59.69,78.6,18.9,58.7,6.1,29.5,0.136,5.7,69.7,30.0,30.0,10.2,35.4,4.1,2454662,2105939,1585191,342176,147106,83448,44486,42015,209761,71089,869471,67.0,78.6,71.2,92.1,34.1,1.5
Pakpattan,Sahiwal,Punjab,Rest of Punjab,1795762,1823687,-0.26,2724,659,57.1,64.7,49.3,53.0,71.12,18.1,50.8,6.3,41.2,0.188,7.4,77.7,29.1,31.5,11.8,40.4,3.5,1795762,1521954,1070376,279120,104440,50600,27787,25116,176009,65804,725386,57.0,63.2,53.6,82.5,22.8,0.9
Okara,Sahiwal,Punjab,Rest of Punjab,2992955,3039139,-0.25,4377,684,60.2,66.5,53.7,53.88,72.36,18.5,54.2,6.0,33.1,0.153,6.2,76.8,28.6,29.6,10.6,38.3,4.1,2992955,2544906,1847093,459680,170929,98070,53035,50674,264889,94496,1145862,64.0,73.5,65.4,89.2,31.5,1.3
Toba Tek Singh,Faisalabad,Punjab,Rest of Punjab,2200639,2190790,0.07,3252,677,71.4,76.4,66.1,68.3,81.82,13.5,66.3,5.1,25.2,0.116,5.3,72.3,32.4,23.6,11.0,28.1,4.4,2200639,1902553,1581424,318388,142580,77256,43780,39963,142390,66496,619215,70.0,83.8,77.8,94.8,39.4,1.7
Jhang,Faisalabad,Punjab,Rest of Punjab,2633635,2743416,-0.68,8809,299,59.4,69.1,49.1,54.05,73.98,19.9,53.5,5.9,39.4,0.181,7.0,77.7,28.7,30.5,10.9,39.2,3.8,2633635,2228470,1601136,409284,151301,85943,45615,40116,245763,88279,1032499,59.0,66.4,58.2,84.3,26.4,1.0
Chiniot,Faisalabad,Punjab,Rest of Punjab,1346961,1369740,-0.28,2643,510,55.0,64.6,45.2,48.37,68.91,20.5,48.9,6.1,30.8,0.142,6.0,73.1,29.5,31.8,10.6,42.2,3.9,1346961,1145954,778505,196852,79384,41540,22569,21831,128830,43073,568456,65.0,75.1,67.5,90.2,32.1,1.3
Nankana Sahib,Lahore,Punjab,Rest of Punjab,1409245,1356080,0.64,2960,476,63.1,68.4,57.6,59.86,75.86,16.0,57.2,5.9,27.8,0.128,5.5,75.5,31.8,26.4,9.5,35.3,4.4,1409245,1206271,911753,212865,89505,48746,28306,25263,108439,38983,497492,68.0,80.2,73.1,93.4,35.6,1.5
Kasur,Lahore,Punjab,Rest of Punjab,3447800,3454996,-0.03,3995,863,62.8,68.0,57.4,60.27,68.6,8.3,56.9,5.9,31.5,0.145,5.9,75.5,32.3,27.0,9.9,36.4,4.6,3447800,2934580,2194254,520721,222667,135694,70151,63892,274362,100801,1253546,66.0,76.3,69.8,91.0,33.4,1.4
Sheikhupura,Lahore,Punjab,Rest of Punjab,3445605,3460004,-0.07,5960,578,68.9,72.1,65.5,65.24,74.65,9.4,63.8,5.1,23.6,0.109,5.0,73.0,31.3,26.7,10.1,31.4,4.8,3445605,2962186,2363139,502967,215973,132833,75653,66249,262076,98973,1082466,71.0,84.7,79.6,95.0,41.7,1.8
